	1016
die	701
zu	540
und	372
der	343
das	309
ist	281
nicht	280
es	248
von	243
software	243
sie	238
für	215
ein	210
eine	197
wir	161
mit	158
auf	147
dass	143
freiheit	141
den	140
in	140
wenn	139
um	135
freie	122
oder	120
ich	120
als	118
werden	112
programm	111
man	108
aber	106
gnu	105
diese	105
des	100
sich	97
wie	95
an	89
‑	86
haben	85
sind	85
können	79
wird	77
auch	74
kann	73
sein	73
dem	72
war	72
einen	67
einem	60
einer	56
andere	56
nutzer	56
über	51
im	49
frei	49
damit	47
anderen	47
so	45
programme	43
dies	43
nur	43
version	43
wurde	41
viele	40
proprietäre	40
1	40
dieser	40
mehr	39
ohne	39
gibt	38
hat	38
gemeinschaft	38
müssen	38
freier	38
lizenz	37
noch	36
durch	36
programmierer	36
uns	35
freien	35
was	34
muss	34
problem	34
zur	32
machen	32
eines	32
quellcode	32
keine	32
aus	32
menschen	31
würde	31
weil	31
zum	30
unter	30
sollte	30
bei	29
alle	28
nach	28
unix	27
ihre	27
bedeutet	27
unternehmen	27
schreiben	27
freiheiten	26
preis	26
macht	25
wäre	24
davon	24
benutzen	24
geld	24
rechner	24
nutzen	24
selbst	24
einige	24
benutzer	24
weise	23
ob	23
copyleft	23
etwas	22
unsere	22
unfreie	22
handbuch	22
dieses	21
änderungen	21
programms	21
kopien	21
dazu	21
kein	21
system	20
also	20
warum	20
immer	20
eigene	20
dann	20
verwenden	20
kopie	20
auszuführen	19
entwickler	19
helfen	18
arbeit	18
sogar	18
teil	18
beispielsweise	18
entwicklung	18
aufgabe	18
versionen	18
recht	18
da	18
mich	18
fsf	17
vor	17
ihnen	17
frage	17
modifizieren	17
bestimmte	17
modifizierte	17
weg	17
am	17
weitere	16
datenverarbeitung	16
ziel	16
gnu-system	16
zeit	16
gpl	16
jemand	16
ändern	16
möchte	16
ihr	16
tun	16
gegen	16
unterstützen	16
meisten	16
viel	16
handbücher	16
kontrolle	16
würden	16
er	16
verdienen	16
betriebssystem	15
heute	15
sagen	15
wurden	15
free	15
bitte	15
diesen	15
solche	15
nichts	15
hatte	15
compiler	15
nutzern	14
möglichkeiten	14
manchmal	14
foundation	14
sollten	14
unserer	14
welche	14
jeden	14
unfrei	14
nutzung	14
sehr	14
jede	14
entwickelt	14
c-bibliothek	14
art	13
zwischen	13
